# Step Filename index vel
  0 biased.lammpstrj 284 -1
  1 biased.lammpstrj 285 -1
  2 biased.lammpstrj 286 -1
  3 biased.lammpstrj 287 -1
  4 biased.lammpstrj 288 -1
  5 biased.lammpstrj 289 -1
  6 biased.lammpstrj 290 -1
  7 biased.lammpstrj 291 -1
  8 biased.lammpstrj 292 -1
  9 biased.lammpstrj 293 -1
  10 biased.lammpstrj 294 -1
  11 biased.lammpstrj 295 -1
  12 biased.lammpstrj 296 -1
  13 biased.lammpstrj 297 -1
  14 biased.lammpstrj 298 -1
  15 biased.lammpstrj 299 -1
  16 biased.lammpstrj 300 -1
  17 biased.lammpstrj 301 -1
  18 biased.lammpstrj 302 -1
  19 biased.lammpstrj 303 -1
  20 biased.lammpstrj 304 -1
  21 biased.lammpstrj 305 -1
  22 biased.lammpstrj 306 -1
  23 biased.lammpstrj 307 -1
  24 biased.lammpstrj 308 -1
  25 biased.lammpstrj 309 -1
  26 biased.lammpstrj 310 -1
  27 biased.lammpstrj 311 -1
  28 biased.lammpstrj 312 -1
  29 biased.lammpstrj 313 -1
  30 biased.lammpstrj 314 -1
  31 biased.lammpstrj 315 -1
  32 biased.lammpstrj 316 -1
  33 biased.lammpstrj 317 -1
  34 biased.lammpstrj 318 -1
  35 biased.lammpstrj 319 -1
  36 biased.lammpstrj 320 -1
  37 biased.lammpstrj 321 -1
  38 biased.lammpstrj 322 -1
  39 biased.lammpstrj 323 -1
  40 biased.lammpstrj 324 -1
  41 biased.lammpstrj 325 -1
  42 biased.lammpstrj 326 -1
  43 biased.lammpstrj 327 -1
  44 biased.lammpstrj 328 -1
  45 biased.lammpstrj 329 -1
  46 biased.lammpstrj 330 -1
  47 biased.lammpstrj 331 -1
  48 biased.lammpstrj 332 -1
  49 biased.lammpstrj 333 -1
  50 biased.lammpstrj 334 -1
  51 biased.lammpstrj 335 -1
  52 biased.lammpstrj 336 -1
  53 biased.lammpstrj 337 -1
  54 biased.lammpstrj 338 -1
  55 biased.lammpstrj 339 -1
