# Step Filename index vel
  0 biased.lammpstrj 2343 -1
  1 biased.lammpstrj 2344 -1
  2 biased.lammpstrj 2345 -1
  3 biased.lammpstrj 2346 -1
  4 biased.lammpstrj 2347 -1
  5 biased.lammpstrj 2348 -1
  6 biased.lammpstrj 2349 -1
  7 biased.lammpstrj 2350 -1
  8 biased.lammpstrj 2351 -1
  9 biased.lammpstrj 2352 -1
  10 biased.lammpstrj 2353 -1
  11 biased.lammpstrj 2354 -1
  12 biased.lammpstrj 2355 -1
  13 biased.lammpstrj 2356 -1
  14 biased.lammpstrj 2357 -1
  15 biased.lammpstrj 2358 -1
  16 biased.lammpstrj 2359 -1
  17 biased.lammpstrj 2360 -1
  18 biased.lammpstrj 2361 -1
  19 biased.lammpstrj 2362 -1
  20 biased.lammpstrj 2363 -1
  21 biased.lammpstrj 2364 -1
  22 biased.lammpstrj 2365 -1
  23 biased.lammpstrj 2366 -1
  24 biased.lammpstrj 2367 -1
  25 biased.lammpstrj 2368 -1
  26 biased.lammpstrj 2369 -1
  27 biased.lammpstrj 2370 -1
  28 biased.lammpstrj 2371 -1
  29 biased.lammpstrj 2372 -1
  30 biased.lammpstrj 2373 -1
  31 biased.lammpstrj 2374 -1
  32 biased.lammpstrj 2375 -1
  33 biased.lammpstrj 2376 -1
  34 biased.lammpstrj 2377 -1
  35 biased.lammpstrj 2378 -1
  36 biased.lammpstrj 2379 -1
  37 biased.lammpstrj 2380 -1
  38 biased.lammpstrj 2381 -1
  39 biased.lammpstrj 2382 -1
  40 biased.lammpstrj 2383 -1
  41 biased.lammpstrj 2384 -1
  42 biased.lammpstrj 2385 -1
  43 biased.lammpstrj 2386 -1
  44 biased.lammpstrj 2387 -1
  45 biased.lammpstrj 2388 -1
  46 biased.lammpstrj 2389 -1
  47 biased.lammpstrj 2390 -1
  48 biased.lammpstrj 2391 -1
  49 biased.lammpstrj 2392 -1
  50 biased.lammpstrj 2393 -1
  51 biased.lammpstrj 2394 -1
  52 biased.lammpstrj 2395 -1
  53 biased.lammpstrj 2396 -1
  54 biased.lammpstrj 2397 -1
  55 biased.lammpstrj 2398 -1
  56 biased.lammpstrj 2399 -1
  57 biased.lammpstrj 2400 -1
  58 biased.lammpstrj 2401 -1
  59 biased.lammpstrj 2402 -1
  60 biased.lammpstrj 2403 -1
  61 biased.lammpstrj 2404 -1
  62 biased.lammpstrj 2405 -1
  63 biased.lammpstrj 2406 -1
  64 biased.lammpstrj 2407 -1
  65 biased.lammpstrj 2408 -1
  66 biased.lammpstrj 2409 -1
  67 biased.lammpstrj 2410 -1
  68 biased.lammpstrj 2411 -1
  69 biased.lammpstrj 2412 -1
  70 biased.lammpstrj 2413 -1
  71 biased.lammpstrj 2414 -1
  72 biased.lammpstrj 2415 -1
  73 biased.lammpstrj 2416 -1
  74 biased.lammpstrj 2417 -1
  75 biased.lammpstrj 2418 -1
  76 biased.lammpstrj 2419 -1
  77 biased.lammpstrj 2420 -1
  78 biased.lammpstrj 2421 -1
  79 biased.lammpstrj 2422 -1
  80 biased.lammpstrj 2423 -1
  81 biased.lammpstrj 2424 -1
  82 biased.lammpstrj 2425 -1
  83 biased.lammpstrj 2426 -1
  84 biased.lammpstrj 2427 -1
  85 biased.lammpstrj 2428 -1
  86 biased.lammpstrj 2429 -1
  87 biased.lammpstrj 2430 -1
  88 biased.lammpstrj 2431 -1
  89 biased.lammpstrj 2432 -1
  90 biased.lammpstrj 2433 -1
  91 biased.lammpstrj 2434 -1
  92 biased.lammpstrj 2435 -1
  93 biased.lammpstrj 2436 -1
  94 biased.lammpstrj 2437 -1
  95 biased.lammpstrj 2438 -1
  96 biased.lammpstrj 2439 -1
  97 biased.lammpstrj 2440 -1
  98 biased.lammpstrj 2441 -1
  99 biased.lammpstrj 2442 -1
  100 biased.lammpstrj 2443 -1
  101 biased.lammpstrj 2444 -1
  102 biased.lammpstrj 2445 -1
  103 biased.lammpstrj 2446 -1
  104 biased.lammpstrj 2447 -1
  105 biased.lammpstrj 2448 -1
  106 biased.lammpstrj 2449 -1
  107 biased.lammpstrj 2450 -1
  108 biased.lammpstrj 2451 -1
  109 biased.lammpstrj 2452 -1
  110 biased.lammpstrj 2453 -1
  111 biased.lammpstrj 2454 -1
  112 biased.lammpstrj 2455 -1
  113 biased.lammpstrj 2456 -1
  114 biased.lammpstrj 2457 -1
  115 biased.lammpstrj 2458 -1
  116 biased.lammpstrj 2459 -1
  117 biased.lammpstrj 2460 -1
  118 biased.lammpstrj 2461 -1
  119 biased.lammpstrj 2462 -1
  120 biased.lammpstrj 2463 -1
  121 biased.lammpstrj 2464 -1
